glottocode,Language,Form,phrules?,concatenative?,multiple_exponence?,Not interruptable?,adjacent?,fixed_position?,first_slot?,Kin,Human,Anim,Inan
raji1240,Raji,-jəmməl,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,FALSE
rong1264,Rongpo,-se,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,FALSE
simt1238,Simte,-te,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
tang1336,Tangkhul Naga,-pin,0,1,0,1,1,1,1,FALSE,FALSE,TRUE,TRUE
tara1313,Tarao,-əy,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
anga1288,Tenyidie,-kô,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
thad1238,Thado Chin,-hó,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
thul1246,Thulung,-mim,0,1,0,1,1,1,1,TRUE,TRUE,TRUE,FALSE
thul1246,Thulung,-mim,0,1,0,1,1,1,1,FALSE,FALSE,FALSE,TRUE
tsha1245,Tshangla,-ba,0,1,0,0,1,0,1,TRUE,TRUE,TRUE,TRUE
sing1264,Turung (Northern Jinghpaw),theyng,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE
sing1264,Turung (Northern Jinghpaw),ni,0,0,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
yakk1236,Yakkha,-ci,0,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE
zaiw1241,Zaiwa,-bʋue,1,1,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE
